club,logo_file,status,primary,secondary,region
680,assets/logos/canonical/680.webp,canonical_webp,#174EA6,#D71920,East Bay
808,assets/logos/canonical/808.webp,canonical_webp,#073763,#F7B500,Out of State
908,assets/logos/908.svg,placeholder,#073763,#F7B500,Out of State / Needs Review
A Team Called Quest,assets/logos/canonical/a-team-called-quest.webp,canonical_webp,#073763,#F7B500,Los Angeles
A Town,assets/logos/canonical/a-town.webp,canonical_webp,#073763,#F7B500,Central Coast
Alameda,assets/logos/canonical/alameda.webp,canonical_webp,#064E3B,#FFFFFF,East Bay
Albuquerque,assets/logos/canonical/albuquerque.webp,canonical_webp,#073763,#F7B500,Out of State
American River,assets/logos/canonical/american-river.webp,canonical_webp,#0057B8,#F7C948,Sacramento
Aquatex,assets/logos/canonical/aquatex.webp,canonical_webp,#073763,#F7B500,Out of State
ASA,assets/logos/canonical/asa.webp,canonical_webp,#073763,#F7B500,Central Valley
Back Bay,assets/logos/back-bay.svg,placeholder,#073763,#F7B500,Orange County
Bainbridge,assets/logos/canonical/bainbridge.webp,canonical_webp,#073763,#F7B500,Out of State
Barcelona Lions,assets/logos/canonical/barcelona-lions.webp,canonical_webp,#073763,#F7B500,Out of State
BOA,assets/logos/boa.svg,placeholder,#073763,#F7B500,Region TBD
Brea Olinda Gold,assets/logos/brea-olinda-gold.svg,placeholder,#073763,#F7B500,Orange County
Brooklyn Hustle,assets/logos/canonical/brooklyn-hustle.webp,canonical_webp,#073763,#F7B500,Out of State
Burlingame,assets/logos/burlingame.svg,placeholder,#073763,#F7B500,Peninsula
Capital,assets/logos/canonical/capital.webp,canonical_webp,#073763,#F7B500,Out of State
CC United,assets/logos/canonical/cc-united.webp,canonical_webp,#F4C430,#C8102E,East Bay
CDM,assets/logos/cdm.svg,placeholder,#073763,#F7B500,Orange County
Chargers,assets/logos/canonical/chargers.webp,canonical_webp,#073763,#F7B500,Orange County
Chicago Park,assets/logos/canonical/chicago-park.webp,canonical_webp,#073763,#F7B500,Out of State
Cincinnati Marlins,assets/logos/canonical/cincinnati-marlins.webp,canonical_webp,#073763,#F7B500,Out of State
CIU,assets/logos/canonical/ciu.webp,canonical_webp,#1E88E5,#FFFFFF,Ventura / Channel Islands
Clovis Red,assets/logos/canonical/clovis-red.webp,canonical_webp,#C8102E,#111111,Central Valley
Colorado,assets/logos/canonical/colorado.webp,canonical_webp,#073763,#F7B500,Out of State
Commerce,assets/logos/canonical/commerce.webp,canonical_webp,#111111,#16A34A,Los Angeles
CT Premier,assets/logos/ct-premier.svg,placeholder,#073763,#F7B500,Out of State / Needs Review
CVU,assets/logos/cvu.svg,placeholder,#073763,#F7B500,Central Valley
Dart,assets/logos/canonical/dart.webp,canonical_webp,#073763,#F7B500,Sacramento
Davis,assets/logos/canonical/davis.webp,canonical_webp,#0057B8,#FFFFFF,Sacramento
Devils Gate,assets/logos/devils-gate.svg,placeholder,#073763,#F7B500,Los Angeles
Diablo Alliance,assets/logos/canonical/diablo-alliance.webp,canonical_webp,#111111,#C8102E,East Bay
Elmhurst,assets/logos/canonical/elmhurst.webp,canonical_webp,#073763,#F7B500,Out of State
Foothill Club,assets/logos/canonical/foothill-club.webp,canonical_webp,#8B0000,#111111,Orange County
Gold Coast,assets/logos/gold-coast.svg,placeholder,#073763,#F7B500,Ventura / Channel Islands
Great Lakes Aquatics,assets/logos/canonical/great-lakes-aquatics.webp,canonical_webp,#073763,#F7B500,Out of State
Hieland,assets/logos/hieland.svg,placeholder,#073763,#F7B500,Region TBD
Hilo Grammaz,assets/logos/canonical/hilo-grammaz.webp,canonical_webp,#073763,#F7B500,Out of State
Hilo Hammahz,assets/logos/canonical/hilo-hammahz.webp,canonical_webp,#073763,#F7B500,Out of State
Honolulu Blue,assets/logos/honolulu-blue.svg,placeholder,#073763,#F7B500,Out of State / Hawaii
Honolulu Green,assets/logos/honolulu-green.svg,placeholder,#073763,#F7B500,Out of State / Hawaii
Kearns,assets/logos/canonical/kearns.webp,canonical_webp,#073763,#F7B500,Out of State
Kingsburg,assets/logos/kingsburg.svg,placeholder,#073763,#F7B500,Central Valley
La Jolla United,assets/logos/canonical/la-jolla-united.webp,canonical_webp,#092E61,#D4AF37,San Diego
LA Premier,assets/logos/la-premier.svg,placeholder,#073763,#F7B500,Los Angeles
Lamorinda,assets/logos/canonical/lamorinda.webp,canonical_webp,#072B57,#FFC72C,East Bay
Lamorinda Brentwood,assets/logos/canonical/lamorinda-brentwood.webp,canonical_webp,#073763,#F7B500,East Bay
LAWPC,assets/logos/canonical/lawpc.webp,canonical_webp,#1E3A8A,#C8102E,Los Angeles
Lokahi,assets/logos/canonical/lokahi.webp,canonical_webp,#073763,#F7B500,Out of State
Longhorn,assets/logos/canonical/longhorn.webp,canonical_webp,#073763,#F7B500,Out of State
Los Alamitos,assets/logos/los-alamitos.svg,placeholder,#073763,#F7B500,Orange County
Loyola WPC,assets/logos/loyola-wpc.svg,placeholder,#073763,#F7B500,Los Angeles
Lyons Aquatics,assets/logos/canonical/lyons-aquatics.webp,canonical_webp,#073763,#F7B500,Out of State
Mesa,assets/logos/canonical/mesa.webp,canonical_webp,#073763,#F7B500,Out of State
